sample	hier_label	hier_label16	hier_label32	branch_length	label	color	annotation_name
n1012	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFF8	VVVO	8.86770e-06	100	#33ffff	
n1013	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFF8	VVVO	4.28090e-06	100	#33ffff	
n1014	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFF8	VVVO	6.11600e-07	93	#33ffff	
n1015	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1	FFFF8	VVVO	1.22310e-06	99	#33ffff	
n1016	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1	FFFF80	VVVO0	2.44620e-06	100	#33ffff	
2024.EXT.0725.1336.180_Bme	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1	FFFF80	VVVO0	2.44620e-06		#33ffff	
2024.EXT.0725.1343.580_Bme_Norway	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2	FFFF84	VVVO8	2.44620e-06		#33ffff	
2024.EXT.0725.2302.260_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2	FFFF88	VVVOG	3.66940e-06		#33ffff	
2024.EXT.0725.2300.020_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFF9	VVVP	6.11570e-06		#33ffff	
n1021	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFFA	VVVQ	9.74800e-07	99	#33ffff	
n1022	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1	FFFFA	VVVQ	1.22310e-06	71	#33ffff	
2024.EXT.0725.2305.400_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.1	FFFFA0	VVVQ0	3.59300e-06		#33ffff	
2024.EXT.0725.2305.520_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.2	FFFFA8	VVVQG	1.28420e-06		#33ffff	
2024.EXT.0725.2306.310_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2	FFFFB	VVVR	4.53870e-06		#33ffff	
n1026	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFFC	VVVS	3.36360e-06	100	#33ffff	
n1027	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFFC	VVVS	1.22310e-06	98	#33ffff	
2024.EXT.0725.1343.370_Bme_Norway	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFFC	VVVS	7.03300e-06		#33ffff	
n1029	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFFD	VVVT	3.05800e-07	73	#33ffff	
2024.EXT.0725.1438.310_Bme_Iran	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1	FFFFD0	VVVT0	3.66940e-06		#33ffff	
2024.EXT.0725.2308.390_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2	FFFFD8	VVVTG	6.72720e-06		#33ffff	
n1032	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFFE	VVVU	6.72720e-06	100	#33ffff	
n1033	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFFE	VVVU	9.17300e-07	95	#33ffff	
